Word,Meaning,Yo,Tú,Él/Ella/Usted,Nosotros,Vosotros,Ellos/Ellas/Ustedes,Tense
aceptar,to accept,acepto,aceptas,acepta,aceptamos,aceptáis,aceptan,present
acampar,to camp,acampo,acampas,acampa,acampamos,acampáis,acampan,present
acompañar,to accompany,acompaño,acompañas,acompaña,acompañamos,acompañáis,acompañan,present
afectar,to affect,afecto,afectas,afecta,afectamos,afectáis,afectan,present
afeitarse,to shave,me afeito,te afeitas,se afeita,nos afeitamos,os afeitáis,se afeitan,present
alquilar,to rent,alquilo,alquilas,alquila,alquilamos,alquiláis,alquilan,present
andar,to walk,ando,andas,anda,andamos,andáis,andan,present
atacar,to attack,ataco,atacas,ataca,atacamos,atacáis,atacan,present
ayudar,to help,ayudo,ayudas,ayuda,ayudamos,ayudáis,ayudan,present
bailar,to dance,bailo,bailas,baila,bailamos,bailáis,bailan,present
bajar,to lower,bajo,bajas,baja,bajamos,bajáis,bajan,present
bañarse,to bathe,me baño,te bañas,se baña,nos bañamos,os bañáis,se bañan,present
borrar,to erase,borro,borras,borra,borramos,borráis,borran,present
buscar,to search,busco,buscas,busca,buscamos,buscáis,buscan,present
calificar,to grade,califico,calificas,califica,calificamos,calificáis,califican,present
cambiar,to change,cambio,cambias,cambia,cambiamos,cambáis,cambian,present
caminar,to walk,camino,caminas,camina,caminamos,camináis,caminan,present
cantar,to sing,canto,cantas,canta,cantamos,cantáis,cantan,present
cazar,to hunt,cazo,cazas,caza,cazamos,cazáis,cazan,present
celebrar,to celebrate,celebro,celebras,celebra,celebramos,celebráis,celebran,present
cenar,to dine,ceno,cenas,cena,cenamos,cenáis,cenan,present
cepillarse,to brush,me cepillo,te cepillas,se cepilla,nos cepillamos,os cepilláis,se cepillan,present
comprar,to buy,compro,compras,compra,compramos,compráis,compran,present
comunicar,to communicate,comunico,comunicas,comunica,comunicamos,comunicáis,comunican,present
conquistar,to conquer,conquisto,conquistas,conquista,conquistamos,conquistáis,conquistan,present
contestar,to answer,contesto,contestas,contesta,contestamos,contestáis,contestan,present
cortar,to cut,corto,cortas,corta,cortamos,cortáis,cortan,present
criticar,to criticize,critico,criticas,critica,criticamos,criticáis,critican,present
cruzar,to cross,cruzo,cruzas,cruza,cruzamos,cruzáis,cruzan,present
charlar,to chat,charlo,charlas,charla,charlamos,charláis,charlan,present
chocar,to crash,choco,chocas,choca,chocamos,chocáis,chocan,present
dejar,to leave,dejo,dejas,deja,dejamos,dejáis,dejan,present
desayunar,to breakfast,desayuno,desayunas,desayuna,desayunamos,desayunáis,desayunan,present
descansar,to rest,descanso,descansas,descansa,descansamos,descansáis,descansan,present
desear,to wish,deseo,deseas,desea,deseamos,deseáis,desean,present
doblar,to fold,doblo,doblas,dobla,doblamos,dobláis,doblan,present
ducharse,to shower,me ducho,te duchas,se ducha,nos duchamos,os ducháis,se duchan,present
empacar,to pack,empaco,empacas,empaca,empacamos,empacáis,empacan,present
enamorar,to enchant,enamoro,enamoras,enamora,enamoramos,enamoráis,enamoran,present
enseñar,to teach,enseño,enseñas,enseña,enseñamos,enseñáis,enseñan,present
entrar,to enter,entro,entras,entra,entramos,entráis,entran,present
escuchar,to listen,escucho,escuchas,escucha,escuchamos,escucháis,escuchan,present
esperar,to wait,espero,esperas,espera,esperamos,esperáis,esperan,present
examinar,to examine,examinó,examinas,examina,examinamos,examináis,examinan,present
explicar,to explain,explico,explicas,explica,explicamos,explicáis,explican,present
explorar,to explore,exploro,exploras,explora,exploramos,exploráis,exploran,present
extrañar,to miss,extraño,extrañas,extraña,extrañamos,extrañáis,extrañan,present
fastidiar,to annoy,fastidio,fastidias,fastidia,fastidiamos,fastidiáis,fastidian,present
festejar,to celebrate,festejo,festejas,festeja,festejamos,festejáis,festejan,present
fumar,to smoke,fumo,fumas,fuma,fumamos,fumáis,fuman,present
ganar,to win,gano,ganas,gana,ganamos,ganáis,ganan,present
gritar,to shout,grito,gritas,grita,gritamos,gritáis,gritan,present
guardar,to keep,guardo,guardas,guarda,guardamos,guardáis,guardan,present
hablar,to speak,hablo,hablas,habla,hablamos,habláis,hablan,present
hallar,to find,hallo,hallas,halla,hallamos,halláis,hallan,present
invitar,to invite,invito,invitas,invita,invitamos,invitáis,invitan,present
lastimarse,to hurt,me lastimo,te lastimas,se lastima,nos lastimamos,os lastimáis,se lastiman,present
lavarse,to wash,me lavo,te lavas,se lava,nos lavamos,os laváis,se lavan,present
limpiar,to clean,limpio,limpias,limpia,limpiamos,limpiáis,limpian,present
llamarse,to be called,me llamo,te llamas,se llama,nos llamamos,os llamáis,se llaman,present
llegar,to arrive,llego,llegas,llega,llegamos,llegáis,llegan,present
llenar,to fill,lleno,llenas,llena,llenamos,llenáis,llenan,present
llevar,to carry,llevo,llevas,lleva,llevamos,lleváis,llevan,present
mandar,to send,mando,mandas,manda,mandamos,mandáis,mandan,present
mirar,to look,miro,miras,mira,miramos,miráis,miran,present
nadar,to swim,nado,nadas,nada,nadamos,nadáis,nadan,present
necesitar,to need,necesito,necesitas,necesita,necesitamos,necesitáis,necesitan,present
olvidar,to forget,olvido,olvidas,olvida,olvidamos,olvidáis,olvidan,present
pagar,to pay,pago,pagas,paga,pagamos,pagáis,pagan,present
participar,to participate,participo,participas,participa,participamos,participáis,participan,present
pasar,to pass,paso,pasas,pasa,pasamos,pasáis,pasan,present
patinar,to skate,patino,patinas,patina,patinamos,patináis,patinan,present
peinarse,to comb,me peino,te peinas,se peina,nos peinamos,os peináis,se peinan,present
pescar,to fish,pesco,pescas,pesca,pescamos,pescáis,pescan,present
pintarse,to paint,me pinto,te pintas,se pinta,nos pintamos,os pintáis,se pintan,present
practicar,to practice,practico,practicas,practica,practicamos,practicáis,practican,present
preguntar,to ask,pregunto,preguntas,pregunta,preguntamos,preguntáis,preguntan,present
preparar,to prepare,preparo,preparas,prepara,preparamos,preparáis,preparan,present
quedar,to stay,quedo,quedas,queda,quedamos,quedáis,quedan,present
quitar,to remove,quito,quitas,quita,quitamos,quitáis,quitan,present
regresar,to return,regreso,regresas,regresa,regresamos,regresáis,regresan,present
representar,to represent,represento,representas,representa,representamos,representáis,representan,present
rezar,to pray,rezo,rezas,reza,rezamos,rezáis,rezan,present
secar,to dry,seco,secas,seca,secamos,secáis,secan,present
terminar,to finish,termino,terminas,termina,terminamos,termináis,terminan,present
tocar,to play,toco,tocas,toca,tocamos,tocáis,tocan,present
tomar,to take,tomo,tomas,toma,tomamos,tomáis,toman,present
trabajar,to work,trabajo,trabajas,trabaja,trabajamos,trabajáis,trabajan,present
tratar,to treat,trato,tratas,trata,tratamos,tratáis,tratan,present
visitar,to visit,visito,visitas,visita,visitamos,visitáis,visitan,present
aprender,to learn,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden,present
beber,to drink,bebo,bebes,bebe,bebemos,bebéis,beben,present
comer,to eat,como,comes,come,comemos,coméis,comen,present
comprender,to understand,comprendo,comprendes,comprende,comprendemos,comprendéis,comprenden,present
correr,to run,corro,corres,corre,corremos,corréis,corren,present
creer,to believe,creo,crees,cree,creemos,creéis,creen,present
deber,to owe,debo,debes,debe,debemos,debéis,deben,present
leer,to read,leo,lees,lee,leemos,leéis,leen,present
meter,to put,meto,metes,mete,metemos,metéis,meten,present
prometer,to promise,prometo,prometes,promete,prometemos,prometéis,prometen,present
responder,to respond,respondo,respondes,responde,respondemos,respondéis,responden,present
romper,to break,rompo,rompes,rompe,rompemos,rompéis,rompen,present
vender,to sell,vendo,vendes,vende,vendemos,vendéis,venden,present
abrir,to open,abro,abres,abre,abrimos,abrís,abren,present
asistir,to assist,asisto,asistes,asiste,asistimos,asistís,asisten,present
compartir,to share,comparto,compartes,comparte,compartimos,compartís,comparten,present
cubrir,to cover,cubro,cubres,cubre,cubrimos,cubrís,cubren,present
cumplir,to fulfill,cumplo,cumples,cumple,cumplimos,cumplís,cumplen,present
decidir,to decide,decido,decides,decide,decidimos,decidís,deciden,present
