Word,Meaning,Yo,Tú,Él/Ella/Usted,Nosotros,Vosotros,Ellos/Ellas/Ustedes,Tense,Extra Notes
hablar,to speak,hable,hables,hable,hablemos,habléis,hablen,Subjunctive Present,
comer,to eat,coma,comas,coma,comamos,comáis,coman,Subjunctive Present,
vivir,to live,viva,vivas,viva,vivamos,viváis,vivan,Subjunctive Present,
trabajar,to work,trabaje,trabajes,trabaje,trabajemos,trabajéis,trabajen,Subjunctive Present,
estudiar,to study,estudie,estudies,estudie,estudiemos,estudiéis,estudien,Subjunctive Present,
correr,to run,corra,corras,corra,corramos,corráis,corran,Subjunctive Present,
abrir,to open,abra,abras,abra,abramos,abráis,abran,Subjunctive Present,
escuchar,to listen,escuche,escuches,escuche,escuchemos,escuchéis,escuchen,Subjunctive Present,
aprender,to learn,aprenda,aprendas,aprenda,aprendamos,aprendáis,aprendan,Subjunctive Present,
escribir,to write,escriba,escribas,escriba,escribamos,escribáis,escriban,Subjunctive Present,
pensar,to think,piense,pienses,piense,pensemos,penséis,piensen,Subjunctive Present,e → ie stem change
poder,to be able to,pueda,puedas,pueda,podamos,podáis,puedan,Subjunctive Present,o → ue stem change
pedir,to ask for,pida,pidas,pida,pidamos,pidáis,pidan,Subjunctive Present,e → i stem change
dormir,to sleep,duerma,duermas,duerma,durmamos,durmáis,duerman,Subjunctive Present,o → ue stem change
querer,to want,quiera,quieras,quiera,queramos,queráis,quieran,Subjunctive Present,e → ie stem change
jugar,to play,juegue,juegues,juegue,juguemos,juguéis,jueguen,Subjunctive Present,u → ue stem change
sentir,to feel,sienta,sientas,sienta,sintamos,sintáis,sientan,Subjunctive Present,e → ie stem change
preferir,to prefer,prefiera,prefieras,prefiera,prefiramos,prefiráis,prefieran,Subjunctive Present,e → ie stem change
encontrar,to find,encuentre,encuentres,encuentre,encontremos,encontréis,encuentren,Subjunctive Present,o → ue stem change
servir,to serve,sirva,sirvas,sirva,sirvamos,sirváis,sirvan,Subjunctive Present,e → i stem change
buscar,to search,busque,busques,busque,busquemos,busquéis,busquen,Subjunctive Present,-car verb (c → qu)
llegar,to arrive,llegue,llegues,llegue,lleguemos,lleguéis,lleguen,Subjunctive Present,-gar verb (g → gu)
empezar,to begin,empiece,empieces,empiece,empecemos,empecéis,empiecen,Subjunctive Present,-zar verb (z → c)
sacar,to take out,saque,saques,saque,saquemos,saquéis,saquen,Subjunctive Present,-car verb (c → qu)
pagar,to pay,pague,pagues,pague,paguemos,paguéis,paguen,Subjunctive Present,-gar verb (g → gu)
cruzar,to cross,cruce,cruces,cruce,crucemos,crucéis,crucen,Subjunctive Present,-zar verb (z → c)
tocar,to touch/play an instrument,toque,toques,toque,toquemos,toquéis,toquen,Subjunctive Present,-car verb (c → qu)
entregar,to deliver,entregue,entregues,entregue,entreguemos,entregéis,entreguen,Subjunctive Present,-gar verb (g → gu)
almorzar,to have lunch,almuerce,almuerces,almuerce,almorcemos,almorcéis,almuercen,Subjunctive Present,-zar verb (z → c)
explicar,to explain,explique,expliques,explique,expliquemos,expliquéis,expliquen,Subjunctive Present,-car verb (c → qu)
tener,to have,tenga,tengas,tenga,tengamos,tengáis,tengan,Subjunctive Present,Irregular
hacer,to do/make,haga,hagas,haga,hagamos,hagáis,hagan,Subjunctive Present,Irregular
decir,to say,diga,digas,diga,digamos,digáis,digan,Subjunctive Present,Irregular
venir,to come,venga,vengas,venga,vengamos,vengáis,vengan,Subjunctive Present,Irregular
salir,to leave,salga,salgas,salga,salgamos,salgáis,salgan,Subjunctive Present,Irregular
conocer,to know [people],conozca,conozcas,conozca,conozcamos,conozcáis,conozcan,Subjunctive Present,Irregular (c→zc)
traducir,to translate,traduzca,traduzcas,traduzca,traduzcamos,traduzcáis,traduzcan,Subjunctive Present,Irregular (c→zc)
oír,to hear,oiga,oigas,oiga,oigamos,oigáis,oigan,Subjunctive Present,Irregular
poner,to put,ponga,pongas,ponga,pongamos,pongáis,pongan,Subjunctive Present,Irregular
traer,to bring,traiga,traigas,traiga,traigamos,traigáis,traigan,Subjunctive Present,Irregular
ser,to be,sea,seas,sea,seamos,seáis,sean,Subjunctive Present,Completely Irregular
ir,to go,vaya,vayas,vaya,vayamos,vayáis,vayan,Subjunctive Present,Completely Irregular
saber,to know [facts],sepa,sepas,sepa,sepamos,sepáis,sepan,Subjunctive Present,Completely Irregular
estar,to be,esté,estés,esté,estemos,estéis,estén,Subjunctive Present,Completely Irregular
dar,to give,dé,des,dé,demos,deis,den,Subjunctive Present,Completely Irregular
haber,to have [auxiliary],haya,hayas,haya,hayamos,hayáis,hayan,Subjunctive Present,Completely Irregular
ver,to see,vea,veas,vea,veamos,veáis,vean,Subjunctive Present,Completely Irregular
caber,to fit,quepa,quepas,quepa,quepamos,quepáis,quepan,Subjunctive Present,Completely Irregular
caer,to fall,caiga,caigas,caiga,caigamos,caigáis,caigan,Subjunctive Present,Completely Irregular
valer,to be worth,valga,valgas,valga,valgamos,valgáis,valgan,Subjunctive Present,Completely Irregular
